ISO 8601 Time,Ax (g),Ay (g),Az (g),Mx (mG),My (mG),Mz (mG)
2019-09-24T11:59:00.000,-0.6154,0.5401,0.6337,-115.37,-547.30,-102.56
2019-09-24T12:00:00.000,0.3687,0.9303,0.0097,-305.32,223.33,-174.54
2019-09-24T12:01:00.000,0.3677,0.9298,0.0088,72.79,370.10,-269.78
2019-09-24T12:02:00.000,0.3721,0.9329,0.0008,69.44,373.60,-272.08
2019-09-24T12:03:00.000,0.3721,0.9345,0.0077,73.96,375.86,-272.12
2019-09-24T12:04:00.000,0.3736,0.9350,0.0057,83.02,379.21,-268.95
2019-09-24T12:05:00.000,0.3577,0.9398,-0.0002,79.58,376.99,-276.40
